"city","state","median_home_value"
"Huntington Park","CA","675536"
"Stockbridge","GA","289839"
"North Richland Hills","TX","367728"
"Powder Springs","GA","363229"
"Tamarac","FL","295512"
"Snohomish","WA","939010"
"Hammond","IN","170817"
"Ypsilanti","MI","282887"
"Centreville","VA","628537"
"Waterford","MI","273769"
"Ames","IA","274367"
"Blaine","MN","378017"
"Mansfield","TX","444293"
"Redondo Beach","CA","1500192"
"Palo Alto","CA","3722200"
"East Orange","NJ","474293"
"Dover","DE","339650"
"Jefferson City","MO","272649"
"Atascocita","TX","310866"
"Alameda","CA","1155484"
"Norristown","PA","332404"
"Eagan","MN","401217"
"Cookeville","TN","320762"
"Union City","CA","1276127"
"Woodland","CA","555610"
"Cocoa","FL","296004"
"Bel Air","MD","461262"
"Littleton","CO","634610"
"Waukesha","WI","413609"
"Easley","SC","315980"
"Weatherford","TX","394881"
"Maricopa","AZ","346284"
"Valrico","FL","417252"
"Casa Grande","AZ","319032"
"Haverhill","MA","543992"
"Massillon","OH","212708"
"Shawnee","KS","424763"
"Doral","FL","549014"
"Arcadia","CA","1414451"
"Kenner","LA","268195"
"Lynwood","CA","688936"
"Vienna","VA","1179673"
"Tigard","OR","608407"
"Oshkosh","WI","253810"
"Grove City","OH","330211"
"Weston","FL","730059"
"Manhattan","KS","288518"
"West Bloomfield","MI","450726"
"Gilroy","CA","1081221"
"Vineland","NJ","304968"
"Lorain","OH","150829"
"Pocatello","ID","336559"
"Dundalk","MD","222673"
"Bluffton","SC","498492"
"Malden","MA","684055"
"Pottstown","PA","352214"
"West Des Moines","IA","320156"
"Rocklin","CA","692668"
"Orland Park","IL","397472"
"Brunswick","GA","254063"
"Port Orange","FL","335496"
"Sammamish","WA","1627993"
"Medina","OH","374184"
"Johnstown","PA","86108"
"Eastvale","CA","949255"
"Carson City","NV","496969"
"Prescott","AZ","605543"
"Reston","VA","635987"
"West Hartford","CT","487818"
"Mechanicsville","VA","440548"
"Little Elm","TX","403397"
"Statesboro","GA","276367"
"Waltham","MA","826437"
"Florence-Graham","CA","592353"
"South San Francisco","CA","1242214"
"San Luis Obispo","CA","1102563"
"Crown Point","IN","354995"
"La Crosse","WI","276422"
"Towson","MD","472632"
"Burnsville","MN","368611"
"Loganville","GA","392226"
"Fountainbleau","FL","303537"
"Valley Stream","NY","756941"
"Biloxi","MS","232658"
"Laguna Niguel","CA","1499546"
"Niagara Falls","NY","166405"
"Dublin","CA","1305295"
"Poinciana","FL","282407"
"Cartersville","GA","323100"
"Eden Prairie","MN","501363"
"Goldsboro","NC","194177"
"Coon Rapids","MN","325994"
"San Gabriel","CA","1121301"
"Taylor","MI","175806"
"Port Orchard","WA","556428"
"Martinsburg","WV","307800"
"Hilliard","OH","384175"
"Mount Juliet","TN","562745"
"Carmichael","CA","561286"
"Brookline","MA","1211601"
"Commerce City","CO","490702"
"Fond du Lac","WI","253674"
"North Bergen Township","NJ","580404"
"Ankeny","IA","338168"
"Euless","TX","357017"
"Youngstown","OH","70004"
"Dearborn Heights","MI","212389"
"Elyria","OH","181557"
"Levittown","PA","393679"
"Stuart","FL","378041"
"Skokie","IL","413078"
"Janesville","WI","288359"
"Montebello","CA","827435"
